iddesignacion;desde;hasta;idtipodesignacion;nroplaca
270;1994-01-01;1998-01-01;2;993
271;1995-01-01;1996-01-01;2;783
272;1991-01-01;1997-01-01;2;245
273;1995-01-01;1999-01-01;2;135
274;1992-01-01;1996-01-01;2;999
275;1992-01-01;1996-01-01;2;322
276;1993-01-01;1998-01-01;2;512
277;1994-01-01;1996-01-01;2;778
278;1995-01-01;1998-01-01;2;1
279;1993-01-01;1998-01-01;2;221
280;1991-01-01;1996-01-01;2;332
281;1993-01-01;1997-01-01;2;340
282;1994-01-01;1999-01-01;2;260
283;1993-01-01;1999-01-01;2;817
284;1991-01-01;1996-01-01;2;372
285;1993-01-01;1997-01-01;2;147
286;1994-01-01;1997-01-01;2;294
287;1995-01-01;1996-01-01;2;548
288;1993-01-01;1997-01-01;2;92
289;1995-01-01;1999-01-01;2;547
290;1995-01-01;1999-01-01;2;457
291;1991-01-01;1998-01-01;2;935
292;1991-01-01;1998-01-01;2;4
293;1992-01-01;1996-01-01;2;425
294;1991-01-01;1997-01-01;2;414
295;1994-01-01;1998-01-01;2;140
296;1993-01-01;1997-01-01;2;782
297;1995-01-01;1998-01-01;2;77
298;1993-01-01;1996-01-01;2;585
299;1994-01-01;1997-01-01;2;841
300;1992-01-01;1997-01-01;2;974
301;1992-01-01;1998-01-01;2;450
302;1992-01-01;1998-01-01;2;728
303;1991-01-01;1996-01-01;2;139
304;1993-01-01;1998-01-01;2;60
305;1994-01-01;1996-01-01;2;374
306;1993-01-01;1999-01-01;2;781
307;1992-01-01;1996-01-01;2;77
308;1991-01-01;1999-01-01;2;420
309;1995-01-01;1998-01-01;2;934
310;1995-01-01;1999-01-01;2;48
311;1993-01-01;1999-01-01;2;964
312;1993-01-01;1998-01-01;2;665
313;1994-01-01;1998-01-01;2;299
314;1994-01-01;1998-01-01;2;222
315;1993-01-01;1996-01-01;2;849
316;1993-01-01;1999-01-01;2;772
317;1995-01-01;1998-01-01;2;796
318;1995-01-01;1997-01-01;2;749
319;1993-01-01;1998-01-01;2;624
320;1994-01-01;1997-01-01;2;814
321;1991-01-01;1996-01-01;2;139
322;1994-01-01;1999-01-01;2;443
323;1992-01-01;1998-01-01;2;713
324;1991-01-01;1999-01-01;2;878
325;1992-01-01;1996-01-01;2;465
326;1992-01-01;1997-01-01;2;812
327;1995-01-01;1999-01-01;2;559
328;1992-01-01;1997-01-01;2;578
329;1994-01-01;1996-01-01;2;46
330;1991-01-01;1998-01-01;2;722
331;1994-01-01;1998-01-01;2;454
332;1992-01-01;1996-01-01;2;58
333;1992-01-01;1996-01-01;2;871
334;1993-01-01;1999-01-01;2;767
335;1995-01-01;1997-01-01;2;910
336;1995-01-01;1999-01-01;2;136
337;1991-01-01;1998-01-01;2;351
338;1991-01-01;1999-01-01;2;801
339;1995-01-01;1997-01-01;2;618
340;1994-01-01;1998-01-01;2;378
341;1994-01-01;1999-01-01;2;667
342;1991-01-01;1998-01-01;2;136
343;1995-01-01;1998-01-01;2;148
344;1993-01-01;1999-01-01;2;598
345;1994-01-01;1996-01-01;2;192
346;1994-01-01;1997-01-01;2;142
347;1991-01-01;1997-01-01;2;39
348;1993-01-01;1997-01-01;2;557
349;1995-01-01;1999-01-01;2;958
350;1993-01-01;1999-01-01;2;194
351;1993-01-01;1999-01-01;2;588
352;1992-01-01;1996-01-01;2;779
353;1993-01-01;1998-01-01;2;900
354;1991-01-01;1999-01-01;2;749
355;1992-01-01;1996-01-01;2;504
356;1995-01-01;1996-01-01;2;938
357;1992-01-01;1999-01-01;2;442
358;1994-01-01;1998-01-01;2;795
359;1995-01-01;1999-01-01;2;863
360;1991-01-01;1999-01-01;2;274
361;1993-01-01;1999-01-01;2;148
362;1995-01-01;1999-01-01;2;283
363;1995-01-01;1998-01-01;2;368
364;1992-01-01;1998-01-01;2;651
365;1995-01-01;1999-01-01;2;424
366;1992-01-01;1998-01-01;2;867
367;1992-01-01;1996-01-01;2;141
368;1993-01-01;1997-01-01;2;308
369;1992-01-01;1998-01-01;2;335
370;1993-01-01;1998-01-01;2;212
371;1991-01-01;1998-01-01;2;135
372;1992-01-01;1999-01-01;2;348
373;1993-01-01;1997-01-01;2;15
374;1992-01-01;1997-01-01;2;307
375;1995-01-01;1998-01-01;2;395
376;1991-01-01;1999-01-01;2;90
377;1995-01-01;1998-01-01;2;432
378;1991-01-01;1996-01-01;2;933
379;1992-01-01;1999-01-01;2;425
380;1992-01-01;1996-01-01;2;661
381;1994-01-01;1997-01-01;2;62
382;1995-01-01;1996-01-01;2;959
383;1995-01-01;1996-01-01;2;374
384;1993-01-01;1999-01-01;2;281
385;1995-01-01;1999-01-01;2;616
386;1994-01-01;1997-01-01;2;680
387;1994-01-01;1999-01-01;2;226
388;1993-01-01;1998-01-01;2;246
389;1991-01-01;1999-01-01;2;691
390;1991-01-01;1997-01-01;2;113
391;1994-01-01;1996-01-01;2;797
392;1991-01-01;1999-01-01;2;956
393;1991-01-01;1997-01-01;2;686
394;1992-01-01;1997-01-01;2;572
395;1994-01-01;1999-01-01;2;67
396;1994-01-01;1999-01-01;2;70
397;1991-01-01;1999-01-01;2;741
398;1992-01-01;1997-01-01;2;318
399;1991-01-01;1997-01-01;2;371
400;1994-01-01;1996-01-01;2;652
401;1991-01-01;1997-01-01;2;30
402;1992-01-01;1999-01-01;2;774
403;1991-01-01;1998-01-01;2;464
404;1991-01-01;1998-01-01;2;395
405;1993-01-01;1998-01-01;2;79
406;1993-01-01;1996-01-01;2;479
407;1993-01-01;1997-01-01;2;556
408;1995-01-01;1999-01-01;2;0
409;1991-01-01;1996-01-01;2;405
410;1991-01-01;1999-01-01;2;352
411;1991-01-01;1999-01-01;2;408
412;1992-01-01;1997-01-01;2;345
413;1992-01-01;1999-01-01;2;252
414;1991-01-01;1999-01-01;2;356
415;1993-01-01;1999-01-01;2;235
416;1993-01-01;1996-01-01;2;493
417;1993-01-01;1999-01-01;2;731
418;1994-01-01;1996-01-01;2;720
419;1993-01-01;1996-01-01;2;549
420;1991-01-01;1997-01-01;2;289
421;1991-01-01;1997-01-01;2;74
422;1992-01-01;1997-01-01;2;350
423;1993-01-01;1999-01-01;2;435
424;1991-01-01;1998-01-01;2;343
425;1995-01-01;1998-01-01;2;256
426;1995-01-01;1998-01-01;2;426
427;1991-01-01;1996-01-01;2;67
428;1995-01-01;1997-01-01;2;327
429;1992-01-01;1996-01-01;2;654
430;1993-01-01;1998-01-01;2;791
431;1992-01-01;1999-01-01;2;529
432;1994-01-01;1998-01-01;2;522
433;1995-01-01;1997-01-01;2;778
434;1994-01-01;1999-01-01;2;801
435;1993-01-01;1999-01-01;2;971
436;1992-01-01;1998-01-01;2;679
437;1992-01-01;1997-01-01;2;189
438;1991-01-01;1998-01-01;2;772
439;1995-01-01;1999-01-01;2;194
440;1992-01-01;1997-01-01;2;586
441;1991-01-01;1998-01-01;2;439
442;1994-01-01;1999-01-01;2;586
443;1995-01-01;1997-01-01;2;272
444;1993-01-01;1998-01-01;2;651
445;1992-01-01;1999-01-01;2;987
446;1994-01-01;1997-01-01;2;12
447;1992-01-01;1997-01-01;2;724
448;1993-01-01;1997-01-01;2;606
449;1992-01-01;1998-01-01;2;371
450;1991-01-01;1999-01-01;2;929
451;1993-01-01;1998-01-01;2;574
452;1993-01-01;1997-01-01;2;747
453;1995-01-01;1998-01-01;2;249
454;1993-01-01;1996-01-01;2;224
455;1993-01-01;1998-01-01;2;269
456;1995-01-01;1999-01-01;2;138
457;1992-01-01;1999-01-01;2;877
458;1991-01-01;1997-01-01;2;491
459;1993-01-01;1997-01-01;2;507
460;1991-01-01;1996-01-01;2;789
461;1994-01-01;1997-01-01;2;420
462;1992-01-01;1998-01-01;2;309
463;1993-01-01;1997-01-01;2;874
464;1992-01-01;1996-01-01;2;170
465;1991-01-01;1998-01-01;2;43
466;1995-01-01;1997-01-01;2;774
467;1993-01-01;1996-01-01;2;388
468;1992-01-01;1997-01-01;2;172
469;1993-01-01;1996-01-01;2;385
470;1992-01-01;1996-01-01;2;245
471;1993-01-01;1996-01-01;2;779
472;1995-01-01;1999-01-01;2;884
473;1994-01-01;1997-01-01;2;261
474;1994-01-01;1998-01-01;2;704
475;1995-01-01;1999-01-01;2;971
476;1991-01-01;1997-01-01;2;927
477;1995-01-01;1999-01-01;2;467
478;1992-01-01;1999-01-01;2;566
479;1995-01-01;1996-01-01;2;344
480;1991-01-01;1999-01-01;2;594
481;1993-01-01;1996-01-01;2;668
482;1992-01-01;1999-01-01;2;472
483;1993-01-01;1998-01-01;2;606
484;1991-01-01;1998-01-01;2;24
485;1994-01-01;1997-01-01;2;538
486;1993-01-01;1998-01-01;2;284
487;1992-01-01;1996-01-01;2;708
488;1995-01-01;1998-01-01;2;338
489;1995-01-01;1996-01-01;2;91
490;1994-01-01;1997-01-01;2;607
491;1993-01-01;1997-01-01;2;421
492;1995-01-01;1999-01-01;2;581
493;1995-01-01;1996-01-01;2;289
494;1992-01-01;1998-01-01;2;308
495;1992-01-01;1998-01-01;2;945
496;1994-01-01;1999-01-01;2;686
497;1995-01-01;1998-01-01;2;671
498;1991-01-01;1997-01-01;2;41
499;1995-01-01;1996-01-01;2;681
500;1991-01-01;1998-01-01;2;753
501;1994-01-01;1999-01-01;2;735
502;1991-01-01;1998-01-01;2;159
503;1991-01-01;1997-01-01;2;641
504;1991-01-01;1998-01-01;2;792
505;1993-01-01;1998-01-01;2;586
506;1993-01-01;1997-01-01;2;138
507;1993-01-01;1999-01-01;2;640
508;1991-01-01;1997-01-01;2;815
509;1991-01-01;1996-01-01;2;364
510;1991-01-01;1996-01-01;2;360
511;1993-01-01;1998-01-01;2;884
512;1995-01-01;1996-01-01;2;452
513;1995-01-01;1997-01-01;2;681
514;1993-01-01;1999-01-01;2;282
515;1995-01-01;1998-01-01;2;794
516;1991-01-01;1996-01-01;2;591
517;1993-01-01;1996-01-01;2;657
518;1995-01-01;1997-01-01;2;259
519;1994-01-01;1999-01-01;2;557
520;1994-01-01;1996-01-01;2;386
521;1995-01-01;1998-01-01;2;285
522;1993-01-01;1998-01-01;2;358
523;1991-01-01;1998-01-01;2;827
524;1992-01-01;1997-01-01;2;454
525;1992-01-01;1999-01-01;2;19
526;1993-01-01;1996-01-01;2;81
527;1994-01-01;1996-01-01;2;518
528;1995-01-01;1996-01-01;2;8
529;1995-01-01;1998-01-01;2;167
530;1993-01-01;1996-01-01;2;873
531;1993-01-01;1996-01-01;2;521
532;1992-01-01;1998-01-01;2;159
533;1992-01-01;1996-01-01;2;620
534;1993-01-01;1998-01-01;2;140
535;1992-01-01;1998-01-01;2;303
536;1992-01-01;1997-01-01;2;908
537;1994-01-01;1999-01-01;2;226
538;1993-01-01;1997-01-01;2;604
539;1992-01-01;1997-01-01;2;529
540;1994-01-01;1998-01-01;2;971
541;1994-01-01;1996-01-01;2;106
542;1995-01-01;1998-01-01;2;287
543;1994-01-01;1996-01-01;2;271
544;1993-01-01;1996-01-01;2;552
545;1992-01-01;1999-01-01;2;300
546;1994-01-01;1999-01-01;2;679
547;1991-01-01;1999-01-01;2;198
548;1994-01-01;1999-01-01;2;7
549;1994-01-01;1999-01-01;2;164
550;1994-01-01;1998-01-01;2;983
551;1991-01-01;1996-01-01;2;136
552;1993-01-01;1998-01-01;2;86
553;1994-01-01;1999-01-01;2;487
554;1991-01-01;1997-01-01;2;794
555;1993-01-01;1996-01-01;2;873
556;1995-01-01;1997-01-01;2;837
557;1994-01-01;1997-01-01;2;359
558;1995-01-01;1997-01-01;2;659
559;1994-01-01;1999-01-01;2;744
560;1994-01-01;1997-01-01;2;739
561;1994-01-01;1997-01-01;2;177
562;1992-01-01;1998-01-01;2;845
563;1995-01-01;1997-01-01;2;847
564;1993-01-01;1996-01-01;2;857
565;1992-01-01;1996-01-01;2;465
566;1993-01-01;1997-01-01;2;981
567;1991-01-01;1998-01-01;2;856
568;1995-01-01;1996-01-01;2;557
569;1993-01-01;1999-01-01;2;349
570;1991-01-01;1998-01-01;2;981
571;1991-01-01;1997-01-01;2;22
572;1994-01-01;1999-01-01;2;504
573;1992-01-01;1996-01-01;2;14
574;1993-01-01;1996-01-01;2;247
575;1992-01-01;1998-01-01;2;335
576;1993-01-01;1997-01-01;2;162
577;1993-01-01;1997-01-01;2;956
578;1991-01-01;1996-01-01;2;602
579;1995-01-01;1999-01-01;2;228
580;1994-01-01;1996-01-01;2;516
581;1995-01-01;1998-01-01;2;240
582;1991-01-01;1996-01-01;2;824
583;1993-01-01;1996-01-01;2;969
584;1993-01-01;1997-01-01;2;726
585;1993-01-01;1998-01-01;2;708
586;1993-01-01;1998-01-01;2;668
587;1992-01-01;1996-01-01;2;162
588;1995-01-01;1998-01-01;2;509
589;1991-01-01;1996-01-01;2;691
590;1994-01-01;1997-01-01;2;185
591;1995-01-01;1999-01-01;2;582
592;1993-01-01;1997-01-01;2;195
593;1992-01-01;1998-01-01;2;451
594;1994-01-01;1998-01-01;2;548
595;1992-01-01;1996-01-01;2;265
596;1994-01-01;1997-01-01;2;920
597;1991-01-01;1999-01-01;2;456
598;1994-01-01;1998-01-01;2;447
599;1991-01-01;1996-01-01;2;589
600;1993-01-01;1999-01-01;2;37
601;1992-01-01;1996-01-01;2;952
602;1991-01-01;1999-01-01;2;247
603;1992-01-01;1999-01-01;2;483
604;1991-01-01;1997-01-01;2;109
605;1995-01-01;1997-01-01;2;247
606;1991-01-01;1999-01-01;2;424
607;1992-01-01;1998-01-01;2;290
608;1995-01-01;1996-01-01;2;417
609;1991-01-01;1996-01-01;2;291
610;1992-01-01;1996-01-01;2;952
611;1992-01-01;1999-01-01;2;861
612;1995-01-01;1998-01-01;2;76
613;1994-01-01;1996-01-01;2;963
614;1993-01-01;1996-01-01;2;17
615;1991-01-01;1999-01-01;2;514
616;1992-01-01;1996-01-01;2;889
617;1991-01-01;1997-01-01;2;542
618;1991-01-01;1999-01-01;2;840
619;1993-01-01;1998-01-01;2;573
620;1993-01-01;1998-01-01;2;580
621;1994-01-01;1997-01-01;2;646
622;1993-01-01;1999-01-01;2;583
623;1995-01-01;1999-01-01;2;825
624;1991-01-01;1998-01-01;2;827
625;1991-01-01;1998-01-01;2;139
626;1992-01-01;1997-01-01;2;976
627;1994-01-01;1998-01-01;2;632
628;1991-01-01;1997-01-01;2;54
629;1993-01-01;1997-01-01;2;783
630;1995-01-01;1998-01-01;2;596
631;1991-01-01;1999-01-01;2;539
632;1994-01-01;1996-01-01;2;44
633;1995-01-01;1999-01-01;2;758
634;1994-01-01;1999-01-01;2;287
635;1994-01-01;1998-01-01;2;269
636;1995-01-01;1998-01-01;2;771
637;1995-01-01;1998-01-01;2;617
638;1993-01-01;1997-01-01;2;770
639;1991-01-01;1998-01-01;2;895
640;1994-01-01;1998-01-01;2;160
641;1994-01-01;1997-01-01;2;117
642;1991-01-01;1999-01-01;2;96
643;1995-01-01;1996-01-01;2;281
644;1993-01-01;1996-01-01;2;698
645;1992-01-01;1998-01-01;2;237
646;1995-01-01;1997-01-01;2;935
647;1991-01-01;1998-01-01;2;243
648;1995-01-01;1999-01-01;2;364
649;1992-01-01;1999-01-01;2;632
650;1991-01-01;1999-01-01;2;929
651;1993-01-01;1999-01-01;2;235
652;1992-01-01;1997-01-01;2;963
653;1991-01-01;1999-01-01;2;604
654;1993-01-01;1997-01-01;2;715
655;1994-01-01;1996-01-01;2;298
656;1993-01-01;1998-01-01;2;13
657;1993-01-01;1998-01-01;2;636
658;1992-01-01;1997-01-01;2;868
659;1993-01-01;1998-01-01;2;418
660;1992-01-01;1996-01-01;2;447
661;1995-01-01;1998-01-01;2;233
662;1993-01-01;1998-01-01;2;97
663;1995-01-01;1996-01-01;2;706
664;1993-01-01;1999-01-01;2;819
665;1994-01-01;1997-01-01;2;729
666;1994-01-01;1997-01-01;2;614
667;1992-01-01;1999-01-01;2;486
668;1994-01-01;1999-01-01;2;134
669;1993-01-01;1998-01-01;2;399
670;1994-01-01;1997-01-01;2;267
671;1991-01-01;1998-01-01;2;76
672;1995-01-01;1999-01-01;2;230
673;1992-01-01;1996-01-01;2;884
674;1993-01-01;1997-01-01;2;279
675;1995-01-01;1998-01-01;2;861
676;1994-01-01;1996-01-01;2;700
677;1995-01-01;1997-01-01;2;939
678;1991-01-01;1997-01-01;2;777
679;1994-01-01;1999-01-01;2;470
680;1994-01-01;1996-01-01;2;754
681;1995-01-01;1998-01-01;2;262
682;1991-01-01;1996-01-01;2;711
683;1993-01-01;1996-01-01;2;95
684;1993-01-01;1999-01-01;2;741
685;1991-01-01;1999-01-01;2;829
686;1992-01-01;1997-01-01;2;505
687;1993-01-01;1999-01-01;2;509
688;1995-01-01;1997-01-01;2;266
689;1993-01-01;1998-01-01;2;959
690;1992-01-01;1999-01-01;2;194
691;1991-01-01;1996-01-01;2;630
692;1992-01-01;1997-01-01;2;302
693;1994-01-01;1999-01-01;2;279
694;1993-01-01;1996-01-01;2;31
695;1993-01-01;1998-01-01;2;233
696;1995-01-01;1999-01-01;2;748
