iddomicilio;calle;altura;entrecalle1;entrecalle2;idbarrio
141;AV 9 DE JULIO       ;2624;AV BOEDO            ;AV DE LOS CONSTITUYE;8
142;AV CALLAO           ;4677;AV CNL ROCA         ;AV ALVAREZ JONTE    ;7
143;AV CARABOBO         ;4375;AV CHORROARIN       ;AV CNL CARDENAS     ;9
144;AV ALMAFUERTE       ;4214;AV ALMTE BROWN      ;AV CNL NICETO VEGA  ;13
145;AV DIAZ VELEZ       ;2821;AV CARLOS J FINLAY  ;AV DEL CAMPO        ;10
146;AV DE LOS CONSTITUYE;256;AV BOEDO            ;AV BOEDO            ;5
147;AV DEL FOMENTISTA   ;4015;AV CABILDO          ;AV CORBETA URUGUAY  ;7
148;AV DE LOS CONSTITUYE;419;AV CRISOLOGO LARRALD;AV ADOLFO BERRO     ;5
149;AV CORDOBA          ;2529;AV DE LOS INMIGRANTE;AV ADOLFO BERRO     ;9
150;AV ALBARELLOS       ;2389;AV CORBETA URUGUAY  ;AV CDORO MARTIN RIVA;1
151;AV BRUIX            ;491;AV DE MAYO          ;AV AMANCIO ALCORTA  ;5
152;AV BOYACA           ;4107;AV BRUIX            ;AV CANONIGO MIGUEL C;7
153;AV DIAZ VELEZ       ;3837;AV AMANCIO ALCORTA  ;AV AVELLANEDA       ;7
154;AV CORDOBA          ;3590;AV CALLAO           ;AV CORBETA URUGUAY  ;9
155;AV CABILDO          ;91;AV CNL NICETO VEGA  ;AV COSTANERA INT HER;7
156;AV DERQUI           ;2653;AV ALVAREZ JONTE    ;AV DE MAYO          ;10
157;AV CANONIGO MIGUEL C;4722;AV CORDOBA          ;AV ALVAREZ JONTE    ;5
158;AV DEL BARCO CENTENE;1535;AV DARACT           ;AV CORDOBA          ;8
159;AV CARABOBO         ;4927;AV ALVAREZ JONTE    ;AV BRUIX            ;4
160;AV CHORROARIN       ;3939;AV BRUIX            ;AV DE LAS CABALLERIZ;11
161;AV DE LOS CORRALES  ;2250;AV ARGENTINA        ;AV CARLOS J FINLAY  ;8
162;AV CORRIENTES       ;2241;AV DE LA RABIDA     ;AV AVELLANEDA       ;14
163;AV DEL BARCO CENTENE;1766;AV CANONIGO MIGUEL C;AV ASAMBLEA         ;3
164;AV ALMAFUERTE       ;1337;AV DERQUI           ;AV BRUIX            ;8
165;AV AMANCIO ALCORTA  ;1450;AV AVELLANEDA       ;AV CASARES          ;10
166;AV ARGENTINA        ;4607;AV ADOLFO BERRO     ;AV DE LOS INMIGRANTE;2
167;AV ALVAREZ THOMAS   ;2265;AV ALVEAR           ;AV CORDOBA          ;2
168;AV BOEDO            ;3029;AV CRISOLOGO LARRALD;AV CDORO MARTIN RIVA;8
169;AV DEL BARCO CENTENE;4277;AV CORDOBA          ;AV CORRIENTES       ;5
170;AV DE LA RABIDA     ;3528;AV COLOMBIA         ;AV CANONIGO MIGUEL C;2
171;AV ARGENTINA        ;690;AV AMANCIO ALCORTA  ;AV CNL NICETO VEGA  ;5
172;AV 27 DE FEBRERO    ;2824;AV BELISARIO ROLDAN ;AV CNL ROCA         ;12
173;AV CALLAO           ;1388;AV BOEDO            ;AV CRISOLOGO LARRALD;11
174;AV ALVEAR           ;424;AV DARACT           ;AV BRUIX            ;6
175;AV ALVAREZ JONTE BAJ;3975;AV BRUIX            ;AV ALMAFUERTE       ;8
176;AV DEL FOMENTISTA   ;4642;AV CASEROS          ;AV BOEDO            ;10
177;AV DIAZ VELEZ       ;367;AV ALVAREZ JONTE    ;AV AMANCIO ALCORTA  ;14
178;AV CARABOBO         ;4601;AV DEL LIBERTADOR   ;AV DE LOS INCAS     ;6
179;AV DERQUI           ;1941;AV DIAZ VELEZ       ;AV CNL NICETO VEGA  ;2
180;AV ASAMBLEA         ;319;AV COLOMBIA         ;AV ALBARELLOS       ;7
181;AV ALMAFUERTE       ;1239;AV ARGENTINA        ;AV DARACT           ;13
182;AV DE MAYO          ;490;AV DEL LIBERTADOR   ;AV ASTURIAS         ;2
183;AV CASEROS          ;2240;AV BOEDO            ;AV 9 DE JULIO       ;11
184;AV AVELLANEDA       ;3288;AV ALMTE BROWN      ;AV ALBARELLOS       ;14
185;AV COLOMBIA         ;208;AV DEL BARCO CENTENE;AV ASTURIAS         ;5
186;AV COSTANERA INT HER;2359;AV CASEROS          ;AV CANONIGO MIGUEL C;3
187;AV CORRIENTES       ;2077;AV ALMTE BROWN      ;AV ALVEAR           ;6
188;AV CORDOBA          ;1646;AV CRISOLOGO LARRALD;AV DARACT           ;6
189;AV CHORROARIN       ;4425;AV DE LOS INMIGRANTE;AV DE LOS INCAS     ;8
190;AV CALLAO           ;1384;AV COBO             ;AV BOEDO            ;9
191;AV CALLAO           ;4560;AV CDORO MARTIN RIVA;AV BELGRANO         ;11
192;AV DEL LIBERTADOR   ;2398;AV 9 DE JULIO       ;AV DE LOS ITALIANOS ;5
193;AV BELISARIO ROLDAN ;4539;AV ADOLFO BERRO     ;AV COSTANERA INT HER;13
194;AV CORRIENTES       ;4725;AV ALVEAR           ;AV DE LAS CABALLERIZ;1
195;AV ARGENTINA        ;1353;AV DERQUI           ;AV CARLOS J FINLAY  ;12
196;AV DE LOS ITALIANOS ;437;AV DEL BARCO CENTENE;AV CURAPALIGUE      ;8
197;AV DEL FOMENTISTA   ;2749;AV ALVAREZ JONTE BAJ;AV 27 DE FEBRERO    ;4
198;AV CORRIENTES       ;790;AV CNL DIAZ         ;AV CDORO MARTIN RIVA;3
199;AV DE LOS CONSTITUYE;2932;AV CDORO MARTIN RIVA;AV CANONIGO MIGUEL C;9
200;AV CORBETA URUGUAY  ;3265;AV AVELLANEDA       ;AV CNL DIAZ         ;12
201;AV CABILDO          ;3813;AV ALVAREZ THOMAS   ;AV ADOLFO BERRO     ;9
202;AV AMANCIO ALCORTA  ;1860;AV BOEDO            ;AV CANONIGO MIGUEL C;7
203;AV CABILDO          ;2691;AV DE LAS CABALLERIZ;AV CRISOLOGO LARRALD;10
204;AV DE LOS ITALIANOS ;1153;AV CASARES          ;AV BOEDO            ;10
205;AV ALMAFUERTE       ;1278;AV CHORROARIN       ;AV DE LAS CABALLERIZ;8
206;AV ALVAREZ JONTE    ;2681;AV DE MAYO          ;AV 27 DE FEBRERO    ;2
207;AV BELGRANO         ;4891;AV CORDOBA          ;AV ASAMBLEA         ;6
208;AV CABILDO          ;2036;AV CRISOLOGO LARRALD;AV DEL BARCO CENTENE;8
209;AV DE MAYO          ;4642;AV BELISARIO ROLDAN ;AV BELGRANO         ;7
210;AV ARGENTINA        ;3456;AV DE LOS CONSTITUYE;AV CRISOLOGO LARRALD;11
211;AV ALVEAR           ;2324;AV CORRIENTES       ;AV ASAMBLEA         ;3
212;AV CASEROS          ;2278;AV 9 DE JULIO       ;AV ALVAREZ JONTE    ;12
213;AV CNL NICETO VEGA  ;304;AV DEL CAMPO        ;AV COMODORO PY      ;7
214;AV ARGENTINA        ;3894;AV CANONIGO MIGUEL C;AV BELISARIO ROLDAN ;13
215;AV DIAZ VELEZ       ;2319;AV CNL ROCA         ;AV BOYACA           ;1
216;AV DE LOS CONSTITUYE;3433;AV DE LOS CORRALES  ;AV CASEROS          ;8
217;AV CASEROS          ;4347;AV CASARES          ;AV 27 DE FEBRERO    ;4
218;AV CDORO MARTIN RIVA;3276;AV DEL FOMENTISTA   ;AV CRISOLOGO LARRALD;11
219;AV ARGENTINA        ;202;AV CHORROARIN       ;AV 27 DE FEBRERO    ;2
220;AV BOYACA           ;2886;AV CASARES          ;AV DE LAS CABALLERIZ;14
221;AV BELGRANO         ;2115;AV DE LOS INMIGRANTE;AV DEL LIBERTADOR   ;2
222;AV DE LOS INCAS     ;721;AV CORRIENTES       ;AV CARABOBO         ;7
223;AV CASARES          ;624;AV ALMTE BROWN      ;AV DEL FOMENTISTA   ;11
224;AV DEL CAMPO        ;2928;AV CORBETA URUGUAY  ;AV ARGENTINA        ;11
225;AV DE LOS CONSTITUYE;506;AV DEL CAMPO        ;AV CORDOBA          ;3
226;AV DE LOS ITALIANOS ;4968;AV CNL DIAZ         ;AV BOYACA           ;7
227;AV ARGENTINA        ;3018;AV CNL CARDENAS     ;AV DE LOS CORRALES  ;1
228;AV CABILDO          ;4499;AV CNL DIAZ         ;AV COBO             ;1
229;AV AVELLANEDA       ;1454;AV CNL CARDENAS     ;AV BOEDO            ;5
230;AV ALVEAR           ;2333;AV BELGRANO         ;AV BOYACA           ;8
231;AV COSTANERA INT HER;3694;AV 9 DE JULIO       ;AV DE LAS CABALLERIZ;5
232;AV CNL DIAZ         ;4832;AV DE LOS CORRALES  ;AV DE LOS INMIGRANTE;7
233;AV ALVAREZ JONTE BAJ;908;AV DE LAS CABALLERIZ;AV DE MAYO          ;10
234;AV CASARES          ;2323;AV CASARES          ;AV ALMTE BROWN      ;6
235;AV DEL BARCO CENTENE;828;AV DERQUI           ;AV COLOMBIA         ;5
236;AV ALMTE BROWN      ;2911;AV ALVAREZ THOMAS   ;AV CURAPALIGUE      ;4
237;AV CNL ROCA         ;2420;AV ALMTE BROWN      ;AV ADOLFO BERRO     ;7
238;AV CORDOBA          ;47;AV DARACT           ;AV DE LOS INMIGRANTE;9
239;AV DIRECTORIO       ;3999;AV AVELLANEDA       ;AV ALMAFUERTE       ;9
240;AV CORRIENTES       ;1534;AV DE LOS ITALIANOS ;AV AVELLANEDA       ;13
241;AV CHICLANA         ;3541;AV CORRIENTES       ;AV DE LOS CORRALES  ;7
242;AV ADOLFO BERRO     ;4188;AV COSTANERA INT HER;AV ASAMBLEA         ;4
243;AV BELGRANO         ;3686;AV CORRIENTES       ;AV ALVAREZ JONTE    ;11
244;AV 9 DE JULIO       ;856;AV CABILDO          ;AV ASTURIAS         ;4
245;AV DE MAYO          ;3868;AV COMODORO PY      ;AV CASARES          ;11
246;AV CNL NICETO VEGA  ;120;AV DE LAS CABALLERIZ;AV ALVEAR           ;5
247;AV COSTANERA RAFAEL ;2107;AV CASARES          ;AV COBO             ;12
248;AV CHORROARIN       ;1603;AV CANONIGO MIGUEL C;AV ALBARELLOS       ;10
249;AV ALVEAR           ;3223;AV ALMTE BROWN      ;AV ALVAREZ JONTE BAJ;9
250;AV DIAZ VELEZ       ;2809;AV ALVEAR           ;AV COMODORO PY      ;9
251;AV CNL DIAZ         ;3047;AV 9 DE JULIO       ;AV AVELLANEDA       ;2
252;AV CHORROARIN       ;4941;AV CORRIENTES       ;AV ALVAREZ JONTE BAJ;1
253;AV DEL FOMENTISTA   ;3316;AV COSTANERA INT HER;AV COMODORO PY      ;1
254;AV CORRIENTES       ;4621;AV CRISOLOGO LARRALD;AV DE LOS INMIGRANTE;5
255;AV CARABOBO         ;1748;AV CARABOBO         ;AV DARACT           ;7
256;AV CDORO MARTIN RIVA;2178;AV COBO             ;AV BOYACA           ;4
257;AV 27 DE FEBRERO    ;4201;AV DE LOS ITALIANOS ;AV ALVEAR           ;3
258;AV DE LOS INCAS     ;4760;AV ARGENTINA        ;AV CNL ROCA         ;7
259;AV DE LAS CABALLERIZ;4525;AV ARGENTINA        ;AV AMANCIO ALCORTA  ;1
260;AV CARLOS J FINLAY  ;4394;AV 27 DE FEBRERO    ;AV BELGRANO         ;11
261;AV DE LOS INCAS     ;4477;AV ALVEAR           ;AV DEL BARCO CENTENE;11
262;AV CORDOBA          ;1792;AV ALVAREZ THOMAS   ;AV COBO             ;10
263;AV CORDOBA          ;2364;AV CANONIGO MIGUEL C;AV COBO             ;6
264;AV 27 DE FEBRERO    ;606;AV DE LOS INCAS     ;AV DEL LIBERTADOR   ;7
265;AV DE LAS CABALLERIZ;948;AV BELGRANO         ;AV CRISOLOGO LARRALD;6
266;AV CALLAO           ;3867;AV DE LOS CORRALES  ;AV CHORROARIN       ;7
267;AV AMANCIO ALCORTA  ;879;AV DE LOS ITALIANOS ;AV CHICLANA         ;10
268;AV BELISARIO ROLDAN ;2909;AV BOYACA           ;AV DEL LIBERTADOR   ;8
269;AV CNL CARDENAS     ;2157;AV BELISARIO ROLDAN ;AV CDORO MARTIN RIVA;2
270;AV CANONIGO MIGUEL C;2645;AV DERQUI           ;AV COSTANERA RAFAEL ;5
271;AV DE LA RABIDA     ;4704;AV BELISARIO ROLDAN ;AV AVELLANEDA       ;4
272;AV CRISOLOGO LARRALD;1346;AV CURAPALIGUE      ;AV ADOLFO BERRO     ;5
273;AV BOEDO            ;1863;AV ALVEAR           ;AV ALBARELLOS       ;11
274;AV ALBARELLOS       ;707;AV CHICLANA         ;AV ALMTE BROWN      ;12
275;AV CNL CARDENAS     ;3821;AV CASARES          ;AV DE LOS CORRALES  ;8
276;AV ADOLFO BERRO     ;3200;AV CASEROS          ;AV ASTURIAS         ;5
277;AV DARACT           ;3247;AV COSTANERA RAFAEL ;AV DE LOS INCAS     ;9
278;AV 9 DE JULIO       ;2238;AV DARACT           ;AV DEL BARCO CENTENE;12
279;AV BOEDO            ;307;AV DIRECTORIO       ;AV DE LOS CORRALES  ;7
280;AV AMANCIO ALCORTA  ;266;AV DEL BARCO CENTENE;AV ALVEAR           ;4
281;AV CHORROARIN       ;4292;AV 27 DE FEBRERO    ;AV AVELLANEDA       ;4
282;AV CORRIENTES       ;3310;AV ALMTE BROWN      ;AV DE LOS INMIGRANTE;12
283;AV AVELLANEDA       ;3849;AV ALVAREZ JONTE BAJ;AV BRUIX            ;6
284;AV DE LOS CORRALES  ;2579;AV CABILDO          ;AV CASARES          ;5
285;AV COLOMBIA         ;4162;AV DE LAS CABALLERIZ;AV CORBETA URUGUAY  ;5
286;AV ALMTE BROWN      ;1040;AV CRISOLOGO LARRALD;AV DIRECTORIO       ;7
287;AV ASTURIAS         ;1425;AV CORBETA URUGUAY  ;AV CNL ROCA         ;5
288;AV CASARES          ;2711;AV CHICLANA         ;AV CALLAO           ;10
289;AV DE LOS CORRALES  ;2923;AV DE LOS INCAS     ;AV CDORO MARTIN RIVA;2
290;AV CASARES          ;3448;AV ASTURIAS         ;AV CASARES          ;8
291;AV BOYACA           ;3002;AV COMODORO PY      ;AV DIAZ VELEZ       ;10
292;AV CORRIENTES       ;3771;AV DERQUI           ;AV DERQUI           ;6
293;AV CRISOLOGO LARRALD;1247;AV CASARES          ;AV ASAMBLEA         ;6
294;AV CORDOBA          ;1329;AV ALMTE BROWN      ;AV ASAMBLEA         ;4
295;AV COBO             ;3109;AV CARLOS J FINLAY  ;AV ALVAREZ JONTE    ;5
296;AV 27 DE FEBRERO    ;4148;AV CORRIENTES       ;AV ARGENTINA        ;9
297;AV CANONIGO MIGUEL C;4731;AV AMANCIO ALCORTA  ;AV CASARES          ;10
